	add	sub	mul	div	sqrt	square	cube	ln	exp	EMWt	FCSP3	HAtmCount	HAtmMWt	LASA	MaxAbsESI	MaxAbsPC	MaxESI	MaxPC	MinAbsESI	MinAbsPC	MinESI	MinPC	MMR	MWt	NHOHCount	NOCount	NAliCc	NAliHc	NAliR	NAroCc	NAroHc	NAroR	NHA	NHD	NHetAtm	NRE	NRB	NSCc	NSHc	NSR	NVE	RCount	TPSA	logp	const	const/expr
0	0.105	0.065	0.29	0.505	0.145	0.19	0.09	0.025	0.135	0.095	0.095	0.045	0.085	0.085	0.06	0.105	0.04	0.06	0.02	0.135	0.01	0.05	0.095	0.09	0.025	0.015	0.005	0.025	0.02	0.035	0.03	0.045	0.005	0.03	0.045	0.32	0.04	0.035	0.03	0.035	0.07	0.02	0.02	0.015	0.09	0.09
1	0.165	0.09	0.145	0.375	0.195	0.245	0.02	0.055	0.26	0.09	0.09	0.025	0.025	0.055	0.035	0.13	0.06	0.06	0.015	0.16	0.0	0.11	0.045	0.075	0.015	0.015	0.015	0.005	0.015	0.025	0.03	0.055	0.005	0.025	0.045	0.105	0.01	0.04	0.01	0.02	0.05	0.025	0.02	0.0	0.27	0.275
2	0.19	0.08	0.19	0.305	0.255	0.18	0.03	0.12	0.31	0.075	0.1	0.04	0.01	0.06	0.005	0.165	0.065	0.035	0.025	0.15	0.0	0.14	0.03	0.07	0.025	0.005	0.015	0.01	0.01	0.005	0.005	0.04	0.02	0.005	0.05	0.115	0.01	0.025	0.015	0.03	0.035	0.04	0.005	0.005	0.31	0.335
3	0.135	0.065	0.235	0.355	0.21	0.125	0.035	0.16	0.52	0.035	0.055	0.025	0.015	0.03	0.01	0.19	0.055	0.04	0.005	0.16	0.005	0.21	0.005	0.045	0.005	0.01	0.0	0.01	0.01	0.0	0.005	0.05	0.01	0.01	0.07	0.13	0.01	0.025	0.02	0.015	0.04	0.06	0.01	0.025	0.345	0.385
4	0.09	0.095	0.3	0.425	0.13	0.11	0.01	0.18	0.635	0.025	0.035	0.015	0.025	0.015	0.005	0.17	0.055	0.035	0.005	0.2	0.015	0.24	0.01	0.035	0.01	0.005	0.015	0.015	0.015	0.01	0.005	0.095	0.0	0.025	0.09	0.125	0.005	0.02	0.02	0.015	0.02	0.07	0.01	0.01	0.43	0.48
5	0.075	0.11	0.315	0.575	0.08	0.065	0.045	0.385	0.775	0.015	0.01	0.015	0.02	0.005	0.005	0.105	0.025	0.02	0.01	0.34	0.015	0.19	0.01	0.025	0.01	0.015	0.02	0.0	0.01	0.015	0.01	0.08	0.0	0.025	0.105	0.085	0.005	0.01	0.015	0.01	0.005	0.05	0.005	0.015	0.675	0.78
6	0.065	0.06	0.38	0.565	0.05	0.04	0.015	0.395	0.805	0.025	0.005	0.02	0.015	0.025	0.005	0.045	0.005	0.015	0.005	0.34	0.01	0.13	0.015	0.035	0.005	0.025	0.02	0.005	0.02	0.01	0.01	0.11	0.005	0.01	0.195	0.06	0.01	0.0	0.01	0.0	0.0	0.055	0.0	0.01	0.69	0.84
7	0.055	0.015	0.38	0.565	0.04	0.05	0.02	0.265	0.865	0.035	0.01	0.01	0.005	0.01	0.015	0.035	0.02	0.005	0.01	0.25	0.005	0.07	0.0	0.01	0.02	0.005	0.015	0.015	0.0	0.015	0.015	0.125	0.015	0.01	0.325	0.04	0.0	0.005	0.005	0.0	0.005	0.045	0.015	0.0	0.725	0.87
8	0.045	0.035	0.445	0.525	0.03	0.04	0.015	0.14	0.885	0.055	0.01	0.015	0.005	0.01	0.01	0.025	0.01	0.0	0.03	0.12	0.015	0.045	0.0	0.005	0.015	0.005	0.01	0.01	0.03	0.015	0.01	0.135	0.005	0.01	0.54	0.025	0.005	0.005	0.015	0.005	0.01	0.02	0.01	0.005	0.71	0.88
9	0.035	0.04	0.52	0.62	0.025	0.025	0.03	0.035	0.96	0.15	0.01	0.015	0.0	0.005	0.0	0.01	0.015	0.005	0.015	0.04	0.01	0.045	0.01	0.01	0.005	0.005	0.0	0.015	0.005	0.015	0.0	0.11	0.005	0.005	0.685	0.015	0.005	0.0	0.005	0.015	0.005	0.02	0.01	0.025	0.755	1.03
10	0.05	0.06	0.575	0.64	0.03	0.03	0.02	0.04	0.935	0.295	0.01	0.025	0.01	0.01	0.015	0.015	0.01	0.015	0.03	0.015	0.005	0.02	0.01	0.01	0.005	0.025	0.015	0.02	0.0	0.015	0.0	0.105	0.005	0.02	0.595	0.025	0.005	0.0	0.02	0.015	0.015	0.005	0.005	0.03	0.695	1.015
