	add	sub	mul	div	sqrt	square	cube	ln	exp	EMWt	FCSP3	HAtmCount	HAtmMWt	LASA	MaxAbsESI	MaxAbsPC	MaxESI	MaxPC	MinAbsESI	MinAbsPC	MinESI	MinPC	MMR	MWt	NHOHCount	NOCount	NAliCc	NAliHc	NAliR	NAroCc	NAroHc	NAroR	NHA	NHD	NHetAtm	NRE	NRB	NSCc	NSHc	NSR	NVE	RCount	TPSA	logp	const	const/expr
0	0.16	0.09	0.13	0.38	0.195	0.225	0.03	0.06	0.26	0.075	0.115	0.04	0.02	0.065	0.025	0.14	0.06	0.055	0.005	0.185	0.0	0.135	0.055	0.07	0.0	0.015	0.0	0.0	0.005	0.015	0.025	0.045	0.0	0.015	0.025	0.14	0.005	0.02	0.005	0.015	0.075	0.02	0.015	0.0	0.295	0.295
1	0.18	0.07	0.18	0.31	0.255	0.19	0.01	0.075	0.325	0.065	0.12	0.02	0.01	0.05	0.0	0.18	0.065	0.035	0.015	0.205	0.0	0.155	0.015	0.04	0.005	0.0	0.01	0.0	0.0	0.0	0.005	0.035	0.005	0.0	0.045	0.17	0.0	0.01	0.01	0.0	0.04	0.045	0.0	0.0	0.38	0.38
2	0.135	0.055	0.235	0.37	0.215	0.125	0.0	0.15	0.52	0.05	0.075	0.015	0.0	0.035	0.0	0.2	0.06	0.035	0.0	0.17	0.0	0.255	0.005	0.04	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.06	0.0	0.0	0.065	0.15	0.0	0.005	0.01	0.005	0.04	0.075	0.0	0.0	0.43	0.435
3	0.065	0.055	0.285	0.445	0.12	0.1	0.005	0.185	0.68	0.02	0.035	0.015	0.025	0.015	0.0	0.18	0.045	0.02	0.0	0.215	0.0	0.275	0.0	0.035	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.095	0.0	0.0	0.095	0.125	0.0	0.005	0.005	0.005	0.005	0.065	0.0	0.0	0.555	0.565
4	0.065	0.065	0.295	0.58	0.055	0.03	0.005	0.375	0.87	0.01	0.01	0.01	0.01	0.0	0.0	0.11	0.03	0.0	0.005	0.425	0.005	0.2	0.005	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.005	0.115	0.105	0.0	0.0	0.005	0.0	0.0	0.05	0.0	0.0	0.79	0.825
5	0.06	0.045	0.375	0.63	0.02	0.02	0.0	0.44	0.94	0.02	0.0	0.01	0.005	0.0	0.005	0.05	0.0	0.01	0.0	0.43	0.005	0.145	0.0	0.01	0.0	0.0	0.005	0.0	0.005	0.0	0.0	0.11	0.0	0.005	0.225	0.065	0.005	0.0	0.005	0.0	0.0	0.055	0.0	0.0	0.9	0.935
6	0.015	0.01	0.415	0.615	0.005	0.025	0.0	0.31	0.96	0.02	0.0	0.0	0.0	0.0	0.0	0.03	0.01	0.0	0.005	0.3	0.0	0.085	0.0	0.005	0.005	0.0	0.0	0.0	0.0	0.005	0.01	0.15	0.0	0.0	0.38	0.04	0.0	0.0	0.0	0.0	0.0	0.055	0.0	0.0	0.935	0.98
7	0.005	0.005	0.49	0.61	0.005	0.015	0.0	0.11	0.965	0.055	0.0	0.0	0.0	0.0	0.005	0.02	0.0	0.0	0.005	0.15	0.0	0.03	0.0	0.0	0.005	0.0	0.005	0.0	0.0	0.01	0.0	0.14	0.0	0.0	0.68	0.015	0.0	0.0	0.0	0.0	0.005	0.01	0.0	0.0	0.96	1.025
8	0.015	0.02	0.555	0.725	0.005	0.0	0.0	0.02	0.985	0.16	0.01	0.015	0.0	0.0	0.0	0.0	0.005	0.0	0.015	0.03	0.0	0.035	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.115	0.0	0.0	0.88	0.005	0.0	0.0	0.0	0.0	0.0	0.01	0.005	0.015	0.95	1.09
9	0.02	0.02	0.64	0.86	0.0	0.005	0.0	0.0	1.0	0.335	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.005	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.005	0.0	0.105	0.0	0.0	0.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.98	1.265
10	0.02	0.045	0.735	0.935	0.0	0.0	0.005	0.0	1.0	0.52	0.0	0.035	0.005	0.02	0.0	0.0	0.0	0.01	0.015	0.0	0.0	0.01	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.005	0.0	0.17	0.0	0.0	0.775	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.015	0.005	0.975	1.325
11	0.035	0.09	0.82	0.955	0.0	0.0	0.005	0.0	1.0	0.605	0.0	0.08	0.0	0.045	0.0	0.0	0.005	0.0	0.03	0.005	0.0	0.005	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.815	0.0	0.025	0.0	0.005	0.005	0.0	0.0	0.035	0.005	0.975	1.31
12	0.0	0.075	0.945	0.985	0.0	0.0	0.0	0.005	1.0	0.695	0.0	0.075	0.0	0.075	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.015	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.405	0.0	0.0	0.9	0.0	0.04	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.995	1.215
13	0.0	0.12	0.97	0.975	0.0	0.0	0.0	0.0	1.0	0.775	0.0	0.11	0.0	0.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.005	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.52	0.02	0.0	0.93	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.975	1.11
14	0.0	0.1	0.995	0.985	0.0	0.0	0.0	0.005	1.0	0.92	0.0	0.11	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.695	0.005	0.0	0.965	0.0	0.02	0.0	0.0	0.005	0.0	0.0	0.005	0.0	0.985	1.14
15	0.01	0.165	0.97	1.0	0.0	0.0	0.0	0.0	1.0	0.94	0.0	0.17	0.01	0.165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.74	0.0	0.0	0.99	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.995	1.175
16	0.005	0.3	0.98	0.97	0.0	0.005	0.0	0.0	1.0	0.92	0.0	0.325	0.005	0.335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.015	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.61	0.0	0.0	0.96	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.985	1.285
17	0.0	0.53	1.0	0.99	0.005	0.0	0.005	0.0	1.0	0.935	0.0	0.55	0.0	0.565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.005	0.0	0.0	0.0	0.005	0.0	0.405	0.005	0.0	0.975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.995	1.55
18	0.0	0.8	0.99	0.975	0.0	0.0	0.0	0.0	1.0	0.96	0.0	0.805	0.0	0.83	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.005	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.985	1.83
19	0.0	0.91	0.99	0.985	0.005	0.0	0.0	0.0	1.0	0.985	0.005	0.895	0.0	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.99	0.0	0.005	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.985	1.91
20	0.0	0.93	0.995	0.99	0.0	0.0	0.0	0.0	1.0	0.92	0.015	0.92	0.0	0.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.01	0.975	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.99	1.93
21	0.0	0.95	1.0	1.0	0.005	0.0	0.0	0.0	1.0	0.925	0.005	0.945	0.0	0.715	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.005	0.0	0.0	0.0	0.0	0.015	0.01	0.0	0.005	0.0	0.0	0.95	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	1.0	2.005
22	0.0	0.985	0.995	1.0	0.0	0.0	0.0	0.0	1.0	0.895	0.0	0.975	0.0	0.405	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.66	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.015
23	0.0	0.99	0.995	0.995	0.0	0.0	0.0	0.0	1.0	0.94	0.0	0.955	0.0	0.2	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.995	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.995	2.025
