	add	sub	mul	div	sqrt	square	cube	ln	exp	Minimum_Degree	Molecular_Weight	Number_of_H_Bond_Donors	Number_of_Rings	Number_of_Rotatable_Bonds	Polar_Surface_Area	const	const/expr
0	0.185	0.225	0.31	0.435	0.1	0.1	0.075	0.02	0.205	0.29	0.305	0.205	0.22	0.105	0.145	0.855	0.91
1	0.21	0.265	0.495	0.145	0.07	0.06	0.08	0.065	0.05	0.335	0.28	0.13	0.21	0.095	0.1	0.79	0.98
2	0.155	0.25	0.595	0.11	0.075	0.035	0.055	0.025	0.035	0.245	0.47	0.065	0.15	0.075	0.06	0.765	1.005
3	0.115	0.13	0.745	0.1	0.07	0.02	0.04	0.03	0.035	0.165	0.565	0.055	0.115	0.03	0.075	0.78	1.005
4	0.07	0.06	0.845	0.1	0.06	0.035	0.055	0.06	0.03	0.115	0.715	0.07	0.075	0.035	0.08	0.795	0.92
5	0.03	0.035	0.89	0.09	0.02	0.025	0.085	0.045	0.04	0.07	0.77	0.03	0.065	0.045	0.055	0.785	0.905
6	0.025	0.015	0.935	0.06	0.03	0.05	0.025	0.055	0.03	0.025	0.79	0.035	0.065	0.035	0.05	0.825	0.935
7	0.035	0.02	0.935	0.055	0.025	0.025	0.025	0.025	0.055	0.03	0.79	0.055	0.04	0.02	0.04	0.805	0.96
8	0.055	0.02	0.93	0.06	0.03	0.02	0.07	0.025	0.035	0.05	0.76	0.06	0.045	0.05	0.06	0.78	0.895
9	0.05	0.02	0.925	0.07	0.015	0.02	0.035	0.035	0.03	0.05	0.745	0.06	0.055	0.06	0.05	0.79	0.94
10	0.04	0.03	0.93	0.045	0.03	0.01	0.05	0.05	0.045	0.025	0.71	0.065	0.04	0.05	0.05	0.725	0.915
11	0.06	0.025	0.945	0.015	0.05	0.07	0.065	0.03	0.04	0.05	0.705	0.055	0.045	0.07	0.05	0.775	0.945
12	0.07	0.04	0.95	0.05	0.045	0.035	0.045	0.03	0.03	0.075	0.7	0.05	0.065	0.05	0.095	0.815	0.955
13	0.05	0.105	0.96	0.055	0.045	0.04	0.055	0.055	0.025	0.055	0.74	0.025	0.07	0.06	0.13	0.735	0.9
14	0.06	0.17	0.95	0.025	0.03	0.025	0.06	0.065	0.02	0.03	0.75	0.045	0.06	0.06	0.195	0.76	0.94
15	0.04	0.39	0.995	0.015	0.035	0.02	0.04	0.02	0.035	0.025	0.72	0.04	0.04	0.045	0.37	0.805	1.07
16	0.045	0.6	0.98	0.035	0.035	0.025	0.07	0.05	0.035	0.025	0.755	0.045	0.06	0.075	0.495	0.85	1.06
17	0.045	0.725	0.97	0.025	0.025	0.03	0.05	0.025	0.03	0.025	0.78	0.07	0.02	0.06	0.63	0.855	1.09
18	0.04	0.755	0.975	0.03	0.035	0.04	0.035	0.01	0.03	0.06	0.73	0.065	0.04	0.06	0.725	0.835	1.08
19	0.035	0.81	0.965	0.035	0.065	0.01	0.03	0.045	0.06	0.055	0.77	0.04	0.06	0.075	0.755	0.87	1.2
20	0.035	0.85	0.98	0.025	0.035	0.05	0.045	0.02	0.025	0.06	0.76	0.035	0.05	0.08	0.75	0.905	1.455
21	0.05	0.825	0.97	0.035	0.045	0.03	0.05	0.025	0.02	0.08	0.75	0.05	0.09	0.1	0.72	0.935	1.565
22	0.05	0.89	0.995	0.01	0.045	0.02	0.0	0.02	0.01	0.12	0.75	0.055	0.085	0.1	0.735	0.945	1.715
23	0.1	0.865	0.99	0.015	0.05	0.02	0.015	0.03	0.025	0.12	0.7	0.04	0.07	0.14	0.7	0.965	1.845
24	0.215	0.87	0.985	0.05	0.045	0.025	0.02	0.025	0.02	0.125	0.765	0.055	0.045	0.265	0.77	0.975	1.925
25	0.255	0.935	0.99	0.02	0.15	0.03	0.02	0.02	0.015	0.195	0.805	0.105	0.045	0.28	0.755	0.95	1.93
26	0.23	0.88	0.985	0.02	0.255	0.02	0.03	0.01	0.035	0.32	0.78	0.11	0.02	0.295	0.74	0.97	1.885
27	0.255	0.88	0.995	0.02	0.38	0.03	0.02	0.035	0.015	0.475	0.715	0.155	0.015	0.28	0.765	0.965	1.795
28	0.205	0.895	0.99	0.005	0.505	0.035	0.01	0.015	0.015	0.595	0.745	0.105	0.015	0.24	0.785	0.945	1.71
29	0.15	0.88	0.985	0.025	0.655	0.02	0.01	0.015	0.02	0.67	0.755	0.075	0.03	0.215	0.805	0.925	1.7
30	0.135	0.905	0.99	0.01	0.725	0.03	0.02	0.035	0.01	0.73	0.775	0.065	0.035	0.18	0.77	0.945	1.7
31	0.055	0.915	0.995	0.015	0.85	0.03	0.015	0.015	0.025	0.755	0.795	0.05	0.035	0.095	0.755	0.945	1.785
32	0.015	0.87	1.0	0.02	0.86	0.025	0.025	0.005	0.015	0.79	0.785	0.035	0.03	0.03	0.78	0.96	1.885
33	0.025	0.855	0.985	0.015	0.87	0.005	0.025	0.005	0.01	0.725	0.84	0.03	0.045	0.035	0.81	0.95	1.96
34	0.02	0.9	0.98	0.045	0.865	0.015	0.01	0.015	0.01	0.79	0.85	0.04	0.04	0.065	0.82	0.97	2.07
35	0.025	0.905	1.0	0.02	0.925	0.015	0.005	0.005	0.025	0.805	0.815	0.04	0.025	0.02	0.78	0.995	2.09
36	0.04	0.875	0.995	0.03	0.91	0.035	0.025	0.02	0.025	0.8	0.79	0.06	0.05	0.045	0.78	0.985	2.11
37	0.01	0.92	0.995	0.02	0.87	0.01	0.045	0.02	0.015	0.765	0.83	0.06	0.03	0.03	0.835	0.995	2.18
38	0.02	0.905	0.98	0.04	0.895	0.02	0.03	0.01	0.03	0.79	0.775	0.035	0.07	0.055	0.83	0.99	2.13
39	0.03	0.87	0.98	0.03	0.89	0.015	0.025	0.01	0.025	0.78	0.8	0.045	0.1	0.065	0.765	0.955	1.965
40	0.01	0.89	0.98	0.015	0.92	0.015	0.015	0.025	0.035	0.72	0.78	0.06	0.18	0.035	0.78	0.95	1.975
41	0.02	0.89	0.995	0.02	0.925	0.015	0.03	0.03	0.01	0.83	0.75	0.115	0.295	0.03	0.765	0.95	1.86
