	add	sub	mul	div	sqrt	square	cube	ln	exp	Minimum_Degree	Molecular_Weight	Number_of_H_Bond_Donors	Number_of_Rings	Number_of_Rotatable_Bonds	Polar_Surface_Area	const	const/expr
0	0.19	0.275	0.495	0.14	0.055	0.02	0.06	0.035	0.02	0.325	0.285	0.12	0.195	0.075	0.075	0.985	1.05
1	0.145	0.235	0.625	0.095	0.055	0.03	0.03	0.015	0.015	0.275	0.54	0.045	0.12	0.03	0.035	0.975	1.085
2	0.11	0.13	0.76	0.08	0.03	0.01	0.025	0.015	0.01	0.16	0.685	0.035	0.085	0.015	0.035	0.975	1.07
3	0.035	0.045	0.89	0.065	0.035	0.0	0.03	0.015	0.01	0.07	0.87	0.015	0.035	0.005	0.035	0.985	1.015
4	0.0	0.005	0.94	0.055	0.0	0.0	0.025	0.0	0.0	0.01	0.98	0.0	0.0	0.0	0.005	1.0	1.005
5	0.0	0.0	0.97	0.03	0.0	0.0	0.015	0.0	0.0	0.005	0.98	0.005	0.0	0.0	0.015	0.99	0.99
6	0.0	0.0	0.96	0.045	0.005	0.005	0.01	0.0	0.0	0.005	0.99	0.0	0.0	0.0	0.005	1.0	1.005
7	0.005	0.0	0.985	0.015	0.0	0.0	0.035	0.0	0.01	0.005	0.985	0.005	0.005	0.0	0.01	0.985	0.99
8	0.005	0.0	0.975	0.035	0.0	0.01	0.02	0.0	0.005	0.005	0.98	0.005	0.0	0.005	0.015	0.995	1.0
9	0.0	0.0	0.98	0.02	0.0	0.005	0.025	0.005	0.0	0.0	0.99	0.0	0.0	0.0	0.0	1.0	1.01
10	0.01	0.005	1.0	0.0	0.015	0.0	0.03	0.015	0.0	0.01	0.94	0.015	0.0	0.015	0.02	0.98	1.0
11	0.015	0.0	1.0	0.0	0.015	0.005	0.015	0.0	0.0	0.005	0.97	0.005	0.01	0.01	0.015	0.995	1.0
12	0.01	0.075	1.0	0.0	0.02	0.0	0.03	0.0	0.005	0.015	0.97	0.0	0.01	0.005	0.085	0.98	0.985
13	0.025	0.165	1.0	0.0	0.01	0.0	0.025	0.005	0.0	0.005	0.97	0.0	0.005	0.01	0.175	0.98	1.015
14	0.025	0.43	1.0	0.0	0.005	0.0	0.03	0.0	0.0	0.01	0.965	0.0	0.0	0.005	0.38	0.985	1.08
15	0.025	0.635	1.0	0.005	0.01	0.005	0.035	0.005	0.005	0.0	0.975	0.005	0.01	0.01	0.57	0.975	1.08
16	0.01	0.835	0.99	0.005	0.015	0.005	0.02	0.01	0.0	0.0	0.975	0.01	0.015	0.01	0.76	0.98	1.11
17	0.0	0.94	0.995	0.0	0.005	0.005	0.005	0.0	0.005	0.005	0.97	0.005	0.01	0.01	0.905	0.96	1.115
18	0.0	0.955	1.0	0.0	0.005	0.005	0.005	0.005	0.015	0.01	0.96	0.005	0.005	0.03	0.935	0.985	1.3
19	0.01	0.975	0.995	0.005	0.015	0.0	0.01	0.005	0.015	0.055	0.975	0.005	0.01	0.02	0.975	0.99	1.505
20	0.035	0.95	1.0	0.01	0.01	0.01	0.005	0.005	0.0	0.025	0.96	0.005	0.03	0.06	0.915	0.99	1.67
21	0.035	0.965	1.0	0.0	0.01	0.015	0.0	0.0	0.0	0.085	0.94	0.03	0.06	0.08	0.915	1.0	1.775
22	0.095	0.975	1.0	0.0	0.005	0.0	0.0	0.0	0.0	0.085	0.94	0.01	0.03	0.135	0.925	1.0	2.005
23	0.245	0.985	1.0	0.0	0.02	0.0	0.0	0.0	0.005	0.09	0.97	0.005	0.005	0.275	0.935	1.0	2.09
24	0.325	0.995	1.0	0.0	0.12	0.005	0.0	0.0	0.0	0.19	1.0	0.05	0.005	0.335	0.98	1.0	2.045
25	0.29	1.0	1.0	0.0	0.265	0.0	0.005	0.0	0.0	0.335	0.985	0.1	0.01	0.33	0.96	1.0	2.015
26	0.29	0.975	1.0	0.01	0.37	0.0	0.0	0.0	0.0	0.5	0.945	0.115	0.0	0.345	0.955	1.0	1.92
27	0.205	0.98	1.0	0.0	0.59	0.0	0.0	0.005	0.005	0.7	0.935	0.09	0.0	0.25	0.945	1.0	1.79
28	0.165	0.97	1.0	0.0	0.715	0.0	0.0	0.0	0.0	0.795	0.935	0.055	0.0	0.22	0.965	1.0	1.78
29	0.11	0.995	1.0	0.0	0.82	0.0	0.0	0.0	0.0	0.855	0.975	0.025	0.0	0.135	0.985	1.0	1.85
30	0.04	0.985	1.0	0.0	0.905	0.01	0.0	0.005	0.01	0.9	0.935	0.03	0.005	0.08	0.905	0.995	1.89
31	0.02	0.975	1.0	0.0	0.965	0.005	0.005	0.0	0.0	0.935	0.955	0.015	0.0	0.035	0.955	1.0	2.015
32	0.005	0.945	1.0	0.0	0.955	0.0	0.005	0.0	0.0	0.955	0.955	0.01	0.005	0.015	0.93	1.0	2.105
33	0.015	0.985	1.0	0.005	0.97	0.0	0.0	0.0	0.0	0.95	0.985	0.0	0.005	0.015	0.98	0.99	2.24
34	0.01	0.995	1.0	0.0	0.985	0.0	0.0	0.0	0.0	0.975	0.985	0.005	0.0	0.005	0.98	1.0	2.245
35	0.005	0.975	1.0	0.0	0.98	0.01	0.0	0.0	0.005	0.965	0.955	0.015	0.005	0.005	0.94	1.0	2.3
36	0.0	0.995	1.0	0.0	0.99	0.0	0.005	0.0	0.0	0.97	0.99	0.02	0.0	0.0	0.985	1.0	2.32
37	0.0	1.0	1.0	0.0	0.975	0.0	0.005	0.0	0.0	0.99	0.985	0.01	0.0	0.005	0.975	1.0	2.34
38	0.0	0.98	1.0	0.005	0.985	0.0	0.01	0.0	0.0	0.97	0.98	0.005	0.055	0.01	0.98	1.0	2.22
39	0.0	0.98	1.0	0.0	0.995	0.0	0.0	0.0	0.0	0.95	0.97	0.0	0.155	0.0	0.975	1.0	2.165
40	0.0	0.985	1.0	0.005	0.99	0.0	0.0	0.0	0.0	0.96	0.955	0.075	0.305	0.0	0.95	1.0	2.0
41	0.0	0.96	1.0	0.0	0.99	0.0	0.005	0.0	0.0	0.975	0.965	0.185	0.42	0.0	0.945	1.0	1.76
42	0.005	0.975	1.0	0.0	0.995	0.0	0.0	0.0	0.0	0.965	0.97	0.345	0.63	0.0	0.985	0.995	1.63
43	0.005	0.98	1.0	0.0	0.985	0.0	0.0	0.0	0.0	0.96	0.975	0.555	0.785	0.0	0.97	0.99	1.455
44	0.01	0.97	1.0	0.0	0.99	0.0	0.0	0.0	0.0	0.985	0.95	0.775	0.915	0.015	0.955	1.0	1.3
45	0.0	0.99	1.0	0.0	0.99	0.0	0.01	0.0	0.0	0.98	0.97	0.82	0.94	0.01	0.97	0.995	1.535
46	0.0	0.995	1.0	0.0	0.975	0.0	0.0	0.0	0.0	0.97	0.975	0.95	0.96	0.015	0.975	0.995	1.785
47	0.0	0.995	1.0	0.0	0.965	0.0	0.01	0.005	0.01	0.97	0.98	0.975	0.975	0.0	0.98	0.99	1.92
48	0.0	0.995	1.0	0.0	0.985	0.01	0.0	0.0	0.015	0.975	0.995	0.965	0.955	0.005	0.975	0.995	1.945
49	0.0	0.995	1.0	0.0	0.97	0.0	0.0	0.0	0.0	0.975	0.985	0.97	0.975	0.01	0.98	1.0	2.0
50	0.0	0.985	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.985	0.965	0.965	0.965	0.0	0.955	1.0	2.03
51	0.0	0.99	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.99	0.975	0.975	0.975	0.0	0.98	1.0	2.015
52	0.0	0.98	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.99	0.985	0.975	0.97	0.0	0.98	1.0	2.025
53	0.0	1.0	1.0	0.0	0.99	0.0	0.0	0.0	0.005	0.98	1.0	0.99	0.975	0.0	0.995	1.0	2.015
54	0.0	0.995	1.0	0.0	0.99	0.01	0.0	0.0	0.005	0.96	0.955	0.945	0.94	0.0	0.96	1.0	2.015
55	0.0	0.995	1.0	0.005	0.995	0.0	0.005	0.0	0.0	0.98	0.985	0.95	0.97	0.005	0.985	1.0	2.03
56	0.005	0.99	1.0	0.0	0.99	0.0	0.005	0.005	0.005	0.975	0.97	0.965	0.955	0.0	0.975	1.0	2.02
57	0.0	0.985	1.0	0.0	0.99	0.0	0.0	0.005	0.0	0.985	0.975	0.955	0.95	0.005	0.975	1.0	2.005
58	0.0	0.985	1.0	0.0	0.995	0.0	0.0	0.005	0.0	0.995	0.995	0.955	0.96	0.005	0.98	0.995	1.98
