	EMWt	FCSP3	HAtmCount	HAtmMWt	LASA	MaxAbsESI	MaxAbsPC	MaxESI	MaxPC	MinAbsESI	MinAbsPC	MinESI	MinPC	MMR	MWt	NHOHCount	NOCount	NAliCc	NAliHc	NAliR	NAroCc	NAroHc	NAroR	NHA	NHD	NHetAtm	NRE	NRB	NSCc	NSHc	NSR	NVE	RCount	TPSA	logp	nonstereo_aromatic_smiles	zinc_id	QED	SA_score
169906	352.1357823	0.210526316	25	332.303	151.0316779	12.14976876	0.325365789	12.14976876	0.234351821	0.066213204	0.234351821	-0.066213204	-0.325365789	101.3657	352.463	1	5	0	0	0	2	1	3	5	1	6	0	5	0	0	0	128	3	59.81	3.923	Cc1ccc(cc1C)n2c(nnc2SCC(=O)Nc3ccccc3)C	ZINC000409108081	0.707092739	1.924609633
290287	239.132157	0.461538462	17	221.146	100.9764628	12.69628192	0.480623572	12.69628192	0.260562525	0.126226852	0.260562525	-0.521285903	-0.480623572	64.4077	239.29	1	3	0	0	0	1	0	1	2	1	4	0	6	0	0	0	94	1	38.33	2.509	CCCNC(=O)C(CC)Oc1ccc(cc1)F	ZINC000020457347	0.827960028	2.245328736
637156	282.1038134	0.538461538	19	264.221	116.2602303	11.79942791	0.4642048	11.79942791	0.281233501	0.063654573	0.281233501	-0.148282785	-0.4642048	74.0467	282.365	1	5	0	1	1	0	1	1	4	1	6	0	5	0	1	1	104	2	62.55	2.324	Cc1ccc(o1)C(C)NC(=O)CCN2CCSC2=O	ZINC000065447550	0.899981255	2.943226325
838729	442.1926284	0.458333333	31	412.341	184.2016795	13.05946358	0.381381779	13.05946358	0.242587839	0.060407743	0.242587839	-3.582138327	-0.381381779	119.1075	442.581	1	6	0	2	2	2	0	2	4	1	7	0	6	0	2	2	166	4	75.71	2.952	c1ccc(cc1)C2(CCOCC2)CNC(=O)C3CCCN(C3)S(=O)(=O)c4ccccc4	ZINC000225517187	0.746397463	2.741863698
329934	456.1631399	0.304347826	32	431.343	186.46406	13.4095279	0.325851925	13.4095279	0.24625395	0.182486648	0.24625395	-3.74669472	-0.325851925	119.5505	456.543	1	7	0	1	1	2	1	3	5	1	9	0	5	0	1	1	168	4	84.3	3.668	Cc1c(c(n(n1)c2ccccc2)C)S(=O)(=O)N3CCC(CC3)C(=O)Nc4ccc(cc4)F	ZINC000085642623	0.635011595	2.161683281
982331	389.1773127	0.6	27	362.305	161.7051022	12.70421504	0.440682823	12.70421504	0.32137931	0.101351585	0.32137931	-0.788155302	-0.440682823	107.3291	389.521	1	6	0	2	2	1	1	2	4	1	7	0	2	0	2	2	146	4	75.44	3.934	CC(C)(C)Cc1nc2cc(ccc2o1)NC(=O)N3CCC4CCC(C3)S4=O	ZINC000528974468	0.844223004	4.907062343
620928	310.0065377	0.181818182	18	300.051	111.8927107	11.46737276	0.483786752	11.46737276	0.257814208	0.035659486	0.257814208	-0.219704861	-0.483786752	67.8664	311.139	2	6	0	0	0	1	1	2	4	2	7	0	5	0	0	0	94	2	79.9	1.262	c1cc(ccc1OCC(=O)NCc2nc[nH]n2)Br	ZINC000037920876	0.871111661	2.584982882
661542	323.1797759	0.35	24	301.239	141.0904669	13.29181397	0.366600502	13.29181397	0.138620382	0.222084891	0.138620382	-0.222084891	-0.366600502	95.8187	323.415	1	3	1	0	1	1	2	3	3	1	4	0	3	1	0	1	124	4	29.33	5.193	Cc1ccc2nc(c(n2c1)NC3CCCCC3)c4ccc(cc4)F	ZINC000000320056	0.718180511	2.20781654
939758	302.2106615	0.764705882	22	276.214	132.2306657	5.991943736	0.378914669	5.991943736	0.146651581	0.2650411	0.146651581	0.2650411	-0.378914669	85.895	302.422	0	5	1	2	3	0	1	1	5	0	5	0	3	1	2	3	120	4	41.49	1.805	c1cnc(cn1)N2CCOCC3(C2)CCCN(C3)CC4CC4	ZINC000096049651	0.851547902	3.645079085
199577	333.2303939	0.6	24	302.224	145.3070049	9.96423597	0.491206202	9.96423597	0.118939515	0.000299888	0.118939515	-0.000299888	-0.491206202	97.1006	333.472	2	4	0	1	1	1	0	1	4	2	4	0	8	0	1	1	134	2	52.93	2.989	CC(=CCC1(CCCN(C1)Cc2ccc(cc2)OCCO)CO)C	ZINC000091781992	0.718263139	2.969751938
625584	336.1698593	0.333333333	25	316.239	145.8689694	5.971777683	0.369240672	5.971777683	0.114812374	0.032405518	0.114812374	-0.032405518	-0.369240672	92.441	336.399	0	7	0	1	1	0	3	3	7	0	7	0	4	0	1	1	128	4	68.96	1.846	Cn1cc(cn1)CN2CCOC(C2)c3cccc(n3)c4cncnc4	ZINC000257207456	0.724111165	3.168548278
718064	274.1681279	0.6875	20	252.188	119.2687337	12.47003417	0.456223812	12.47003417	0.28908064	0.078573554	0.28908064	0.078573554	-0.456223812	75.5405	274.364	0	4	0	3	3	0	1	1	3	0	4	0	1	0	3	3	108	4	36.69	2.144	Cc1ccc(o1)C(=O)N2CC3CN4CCCCC4C3C2	ZINC000225251806	0.787070179	3.493274457
304645	263.1633769	0.714285714	19	242.173	113.1760706	10.150585	0.392343018	10.150585	0.146550346	0.019128047	0.146550346	-0.200872648	-0.392343018	71.9498	263.341	1	5	1	1	2	0	1	1	5	1	5	0	3	1	1	2	104	3	58.48	1.233	CCOC1CC(C12CCN(CC2)c3cnccn3)O	ZINC000096421008	0.888650313	3.936664521
313053	349.1381503	0.933333333	22	322.302	137.6201877	12.78732544	0.365169347	12.78732544	0.252322907	0.149260676	0.252322907	-3.266184519	-0.365169347	89.7068	349.518	0	5	1	1	2	0	0	0	5	0	7	0	5	1	1	2	128	2	63.68	2.06	CCC(C(=O)N1CCSCC1S(=O)(=O)C)OC2CCCCC2	ZINC000408513176	0.76009525	3.575608272
889289	434.044201	0.5625	21	410.633	147.062369	6.230882727	0.358515315	6.230882727	0.170862558	0.655777116	0.170862558	-1.748470175	-0.358515315	103.906	434.825	0	2	0	0	0	0	2	2	2	0	5	0	4	0	0	0	116	2	17.82	6.318	CC(C)[Si](C(C)C)(C(C)C)n1ccc2c1nc(c(c2)Cl)I	ZINC000169794268	0.312698244	3.357537886
393574	446.1446327	0.428571429	30	420.39	184.7373764	13.2980352	0.394243982	13.2980352	0.266832039	0.0933574	0.266832039	-0.279796837	-0.394243982	125.7735	446.598	2	7	0	1	1	0	2	2	8	2	9	0	8	0	1	1	160	3	86.94	3.187	CCCCN1C(=O)C(=Cc2c(nc3c(cccn3c2=O)C)NC(CC)CO)SC1=S	ZINC000035132690	0.475636896	3.23381918
242105	346.1099614	0.3125	24	328.268	143.5454362	12.41742135	0.496687395	12.41742135	0.323743921	0.212784969	0.323743921	-0.416103894	-0.496687395	90.5467	346.412	1	7	0	1	1	1	1	2	6	1	8	0	5	0	1	1	126	3	76.46	1.913	CC(C(=O)N1CCNC1=O)Sc2nccn2c3cccc(c3)OC	ZINC000009319257	0.837172346	2.858811667
669288	234.1004423	0.5	17	220.143	99.02311835	11.13369221	0.477540601	11.13369221	0.338970432	0.285547997	0.338970432	-0.915361631	-0.477540601	61.2083	234.255	1	5	0	2	2	0	1	1	4	1	5	0	2	0	2	2	90	3	62.66	0.862	c1cc(c(nc1)N2CC3COCC3C2)C(=O)O	ZINC000409433480	0.821999696	3.278284081
195575	444.035251	0.3	27	427.604	169.6364165	6.049182639	0.440397006	6.049182639	0.198188154	0.365231049	0.198188154	0.365231049	-0.440397006	109.163	445.748	0	5	0	1	1	1	3	4	5	0	7	0	3	0	1	1	138	5	46.57	5.271	c1cc2c(cc1Cl)nc(o2)C3CCN(CC3)Cc4cn5cc(ccc5n4)Br	ZINC000058378377	0.430803269	2.580555563
447522	350.1742759	0.3	26	328.246	152.4261716	12.49116049	0.338979959	12.49116049	0.226979213	0.049809933	0.226979213	0.049809933	-0.338979959	98.12	350.422	0	6	0	0	0	1	2	3	5	0	6	0	7	0	0	0	134	3	72.12	3.421	CCN(Cc1ccccn1)C(=O)CCc2nc(no2)c3ccccc3C	ZINC000055252519	0.65272278	2.22535072
469016	364.0881634	0.05	26	348.298	154.9403692	12.34830436	0.32453683	12.34830436	0.293538925	0.300640957	0.293538925	-0.457478374	-0.32453683	103.3307	364.426	1	5	0	1	1	2	0	2	4	1	6	0	5	0	1	1	130	3	66.48	3.918	c1ccc(cc1)C=CC=C2C(=O)N(C(=O)S2)CC(=O)Nc3ccccc3	ZINC000210806410	0.816894456	2.097582105
451462	392.140389	0.181818182	28	371.722	168.4805796	6.082311501	0.49668556	6.082311501	0.120556677	0.711489467	0.120556677	0.711489467	-0.49668556	112.4997	392.89	1	5	0	0	0	2	2	4	4	1	6	0	6	0	0	0	142	4	54.04	4.919	CN(Cc1cc[nH]n1)Cc2cc3ccc(cc3nc2c4ccc(cc4)Cl)OC	ZINC000072436353	0.505719521	2.655810963
893857	486.1743915	0.538461538	33	455.817	204.209964	13.59025377	0.491080965	13.59025377	0.24234142	0.031067649	0.24234142	-0.145800317	-0.491080965	130.686	487.065	0	5	2	1	3	1	1	2	4	0	7	0	8	2	0	2	176	5	49.85	5.335	c1cc(ccc1OCC2c3ccsc3CCN2C(=O)CN(CC4CC4)C(=O)C5CCCC5)Cl	ZINC000036115986	0.506011579	3.032590756
396195	326.1464272	0.5625	22	303.253	134.7384302	12.85639394	0.490298263	12.85639394	0.239017408	0.036372394	0.239017408	-0.400910265	-0.490298263	87.6044	326.437	2	4	0	1	1	1	0	1	4	1	6	0	6	0	1	1	122	2	55.56	2.276	CSCCC(C(=O)N1CCC(CC1)Oc2ccc(cc2)F)N	ZINC000156427708	0.871228441	2.611667619
647831	449.0789212	0.238095238	29	426.435	175.9467018	13.23453314	0.2406409	13.23453314	0.2406409	0.166939791	0.222977732	-3.876798286	-0.222977732	116.5293	449.619	1	5	0	0	0	2	1	3	5	1	8	0	7	0	0	0	154	3	80.31	4.167	Cc1cc(c(c(c1)C)S(=O)(=O)NCC(c2cccs2)S(=O)(=O)c3ccccc3)C	ZINC000008601922	0.587111488	2.812424916
216657	208.1324111	0.6	15	192.137	89.26779021	5.933011149	0.479393292	5.933011149	0.241792243	0.463493953	0.241792243	0.463493953	-0.479393292	59.0604	208.265	2	5	0	1	1	0	1	1	5	1	5	0	2	0	1	1	82	2	64.27	1.058	COc1c(c(ncn1)N2CCCCC2)N	ZINC000087205264	0.786842278	2.232449756
7509	332.2463783	0.7	24	300.232	146.2756882	5.681496385	0.49642593	5.681496385	0.122852983	0.401827641	0.122852983	0.401827641	-0.49642593	97.514	332.488	0	4	0	2	2	1	0	1	4	0	4	0	6	0	2	2	134	3	24.94	3.161	CCOCC1CCC2(N1C)CCN(CC2)Cc3ccccc3OC	ZINC000096206779	0.798806369	3.493353996
472094	283.0956913	0.133333333	21	270.183	120.3235429	11.51596854	0.434328586	11.51596854	0.249850528	0.010947739	0.249850528	-0.213998278	-0.434328586	77.7457	283.287	1	6	0	0	0	1	2	3	5	1	6	0	4	0	0	0	106	3	77.25	2.475	COCC(=O)Nc1cccc(c1)c2nc3c(o2)cccn3	ZINC000006709755	0.795532018	2.09797502
548792	387.1582915	0.260869565	29	366.271	167.4667148	12.63435183	0.44377402	12.63435183	0.251020645	0.063474801	0.251020645	-0.063474801	-0.44377402	109.4012	387.439	1	6	1	0	1	2	2	4	5	1	6	0	4	1	0	1	146	5	81.16	5.131	Cc1ccc(cc1)c2nc(co2)c3c4cc(ccc4on3)C(=O)NC5CCCC5	ZINC000096154301	0.524862983	2.448534967
964365	333.1623314	0.5	23	310.277	140.5909072	11.91149481	0.35077838	11.91149481	0.230378606	0.034994714	0.230378606	-0.239838517	-0.35077838	91.8627	333.461	1	6	0	0	0	1	1	2	6	1	7	0	5	0	0	0	124	2	72.7	2.793	CC(C)c1ccc(cc1)n2c(nnn2)SCC(=O)NC(C)(C)C	ZINC000005217429	0.851895969	2.177146366
